index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
75,0.0028179507,0.0010935542,,0.0037178812,,,0.0021582583,,,,0.4965846,100000,5,0.69288856,-1.2284731577549834e-5
159,0.0028240588,0.0010544052,-0.0030508914,0.0036936866,0.0034364136,,,-0.001935236,,,0.49846625,100000,7,0.7947108,-1.2317623250490684e-5
824,,,,0.0036915948,0.003410124,0.0013642185,,,-0.0020759306,0.0024638814,0.49706018,100000,6,0.7521938,-1.2390588687294368e-5
109,0.0028446377,,-0.0030333095,0.0037103777,,0.001384863,0.0021455588,,,,0.497949,100000,6,0.75100166,-1.245019631257449e-5
213,0.0028413767,,-0.0030488002,,0.003474075,,0.0021498394,-0.0019302008,,,0.49973184,100000,6,0.75100166,-1.245019631257449e-5
116,,,-0.0030368404,,0.0034764805,0.0013812862,0.0021506778,,,,0.4994954,100000,5,0.6884182,-1.246355266482091e-5
773,0.0028561633,,-0.0030351658,,,,,,-0.002077983,0.002494537,0.50135696,100000,5,0.6884182,-1.246355266482091e-5
476,,,-0.003035289,0.003710062,0.0034551334,,0.0021628726,-0.0019339621,-0.002054971,,0.5003271,100000,7,0.79073715,-1.2556056135704097e-5
921,0.002819329,,,0.0036875214,0.0034074094,,,-0.0019231122,-0.002083501,0.002454846,0.4973001,100000,7,0.79073715,-1.2556056135704097e-5
176,,,,,0.0034574925,0.0013490582,,-0.0019095658,,,0.50003713,100000,4,0.58013874,-1.2596121615970901e-5
196,,,-0.0030185531,,,,0.00213736,-0.0019225308,,,0.5028788,100000,4,0.58013874,-1.2596121615970901e-5
602,,0.0010985162,,0.0037016203,0.003413452,,0.0021740468,,,0.0024516957,0.4950652,100000,6,0.7474253,-1.262901918797077e-5
716,,,-0.003024641,0.003724075,,,0.0021482543,-0.0019244164,,0.0024738896,0.49977884,100000,6,0.7474253,-1.262901918797077e-5
169,0.0028314777,,,0.003706875,,0.0013527937,,-0.0019048173,,,0.49848658,100000,5,0.6839478,-1.2642373752091984e-5
274,,0.0010661796,,,0.0034457108,,,,-0.0020531488,,0.5002562,100000,4,0.57616514,-1.2715334481994134e-5
548,,,-0.003029,,,0.0013831267,,,,0.002486356,0.50106066,100000,4,0.57616514,-1.2715334481994134e-5
636,,,-0.0030424502,0.0036937508,0.0034350825,0.0013741272,0.0021613683,,,0.002455427,0.4964429,100000,7,0.78775686,-1.2734880799669668e-5
514,,0.0010900286,,,,,,,,0.002482339,0.49969774,100000,3,0.36059988,-1.278829375261914e-5
301,0.0028529917,,-0.0030362352,0.0037085244,,0.0013840565,,,-0.0020671233,,0.5000554,100000,6,0.74384904,-1.2807842063589092e-5
565,0.00284977,,-0.0030591756,,0.0034444476,0.0014053314,,,,0.0024590252,0.49792928,100000,6,0.74384904,-1.2807842063589092e-5
733,0.0028240872,,-0.0030542137,0.0036905867,0.0034325614,,0.002160656,-0.001932197,,0.0024464699,0.49669182,100000,8,0.81656504,-1.2840744528563874e-5
267,0.0028263438,0.001083797,,0.0037159189,,,,,-0.00207139,,0.49870256,100000,5,0.67798734,-1.2880801868231373e-5
