index,x1_b,x1_t,x2_b,x2_t,x3_b,x3_t,x4_b,x4_t,x5_b,x5_t,x6_b,x6_t,x7_b,x7_t,x8_b,x8_t,x9_b,x9_t,x10_b,x10_t,_cons_b,_cons_t,nobs,ncoef,r2adj
15,0.00283212,0.89315444,0.001067915,0.3370947,-0.0030299926,-0.95611346,0.0037134166,1.174603,,,,,,,,,,,,,,,100000,5,-7.933418454619812e-6
542,,,0.0010729758,0.33868745,-0.003039099,-0.9589826,0.0036970389,1.1694038,0.0034205918,1.0801678,,,,,,,,,0.0024555114,0.7739515,,,100000,6,-8.039232048728806e-6
32,,,,,,,,,,,0.0013674712,0.43143016,,,,,,,,,,,100000,2,-8.152437538155866e-6
332,,,,,-0.0030141408,-0.9511258,0.003730347,1.179968,,,,,0.0021481547,0.67907655,,,-0.002059048,-0.6502564,,,,,100000,5,-8.171846570981245e-6
596,,,,,-0.0030369444,-0.95830834,,,0.0034580412,1.0920204,,,0.0021512425,0.6800503,,,,,0.0024599698,0.77536577,,,100000,5,-8.171846570981245e-6
217,0.0028131576,0.8871863,,,,,0.0036948463,1.168705,0.0034341395,1.0844841,,,0.0021665134,0.6848774,-0.0019299609,-0.60945266,,,,,,,100000,6,-8.218054924347129e-6
49,0.0028394097,0.895452,,,,,,,0.0034458402,1.0882137,0.0013900488,0.43854287,,,,,,,,,,,100000,4,-8.244852008010284e-6
69,0.0028506317,0.8990058,,,-0.0030281744,-0.9555452,,,,,,,0.0021349955,0.67491937,,,,,,,,,100000,4,-8.244852008010284e-6
392,,,,,,,0.003726687,1.178813,,,,,,,-0.0019186665,-0.6058878,-0.0020574587,-0.6497548,,,,,100000,4,-8.244852008010284e-6
552,,,,,,,0.0037105044,1.173687,,,0.00136056,0.42924562,,,,,,,0.00247307,0.7795111,,,100000,4,-8.244852008010284e-6
589,0.0028322523,0.89320123,,,-0.003033424,-0.9572003,0.0037098967,1.1734886,,,,,0.0021459605,0.67838335,,,,,0.0024730277,0.7794985,,,100000,6,-8.277662549405207e-6
129,0.0028375562,0.8948909,,,,,,,,,,,,,-0.0019148653,-0.6046884,,,,,,,100000,3,-8.317855984651956e-6
312,,,,,,,0.0036964917,1.1692305,0.0034275558,1.0824192,0.0013581226,0.42847782,,,,,-0.002058259,-0.650008,,,,,100000,5,-8.35066765825232e-6
349,0.0028353326,0.8941649,,,-0.0030445182,-0.9606895,0.003696449,1.1692111,0.003443785,1.0875195,,,0.0021605315,0.682984,,,-0.002067707,-0.6529865,,,,,100000,7,-8.383480644358343e-6
409,0.0028214576,0.88979787,,,,,0.0036929213,1.1680977,0.003424588,1.0814756,,,,,-0.0019261544,-0.60825026,-0.0020659114,-0.6524199,,,,,100000,6,-8.396877799743407e-6
90,,,0.0010880843,0.34345686,,,0.0037066226,1.1724341,0.0034306857,1.0833879,,,0.0021726245,0.6867975,,,,,,,,,100000,5,-8.469881716433036e-6
649,0.0028192808,0.8891195,,,,,0.003706302,1.1723541,,,,,,,-0.0019170706,-0.6053835,,,0.002464233,0.7767271,,,100000,5,-8.469881716433036e-6
261,0.0028588553,0.90159327,,,-0.0030312345,-0.956513,,,,,,,,,,,-0.002060399,-0.6506802,,,,,100000,4,-8.542884172957343e-6
656,,,,,,,,,0.003439182,1.0860835,,,,,-0.0019215819,-0.60680693,,,0.0024511407,0.77258337,,,100000,4,-8.542884172957343e-6
124,,,,,-0.0030386406,-0.95884025,0.0036995825,1.170206,0.0034522624,1.0901989,0.0013681104,0.43162698,0.0021600432,0.68283,,,,,,,,,100000,6,-8.635308300641853e-6
781,0.0028407339,0.89587,,,-0.0030363363,-0.9581214,0.0037081027,1.1729231,,,,,,,,,-0.0020844908,-0.65827054,0.0024867007,0.7837882,,,100000,6,-8.635308300641853e-6
204,,,,,-0.0030196896,-0.9528757,0.0037294382,1.1796808,,,,,0.0021468475,0.67866355,-0.0019274958,-0.6086752,,,,,,,100000,5,-8.70830983279447e-6
788,,,,,-0.0030398755,-0.9592353,,,0.0034486237,1.0890542,,,,,,,-0.0020657398,-0.65235436,0.0024733238,0.7795548,,,100000,5,-8.70830983279447e-6
522,,,0.0011013709,0.34765723,,,0.003718341,1.1761668,,,,,,,,,,,0.0024744647,0.77994573,,,100000,4,-8.72170347188117e-6
2,,,0.0010795562,0.3407762,,,,,,,,,,,,,,,,,,,100000,2,-8.748489946475146e-6
569,0.0028214518,0.8897804,,,,,0.003676705,1.1629612,0.0034047277,1.0751803,0.0013831313,0.43635637,,,,,,,0.002445918,0.7709331,,,100000,6,-8.754523550980053e-6
221,0.0028270865,0.89157003,,,-0.0030499764,-0.96241075,0.0036956,1.168943,0.003449739,1.0893961,,,0.0021593175,0.6826005,-0.0019352332,-0.6111165,,,,,,,100000,7,-8.86034641478517e-6
53,0.0028528022,0.8996665,,,-0.0030552468,-0.9640735,,,0.0034615775,1.0931693,0.0013991434,0.44141,,,,,,,,,,,100000,5,-8.8871309198435e-6
184,,,,,,,0.0036956097,1.1689517,0.0034333174,1.0842352,0.0013359407,0.4214529,,,-0.0019149506,-0.60467434,,,,,,,100000,5,-8.8871309198435e-6
282,,,0.0010782302,0.3403518,,,0.0037046,1.171796,0.0034211003,1.0803684,,,,,,,-0.002059606,-0.65043265,,,,,100000,5,-8.8871309198435e-6
316,,,,,-0.0030416336,-0.9597868,0.0036976903,1.169609,0.0034427808,1.0872126,0.0013670832,0.43130288,,,,,-0.0020550734,-0.64900136,,,,,100000,6,-8.992954051656454e-6
36,,,,,-0.0030245634,-0.95441353,,,,,0.0013766501,0.43432406,,,,,,,,,,,100000,3,-9.033126027624405e-6
396,,,,,-0.0030225804,-0.95378995,0.003727645,1.1791155,,,,,,,-0.001924,-0.60757077,-0.0020541297,-0.64870304,,,,,100000,5,-9.065952007114575e-6
556,,,,,-0.0030298913,-0.9560932,0.0037111999,1.1739064,,,0.0013698587,0.43217728,,,,,,,0.0024782517,0.7811429,,,100000,5,-9.065952007114575e-6
19,0.0028259873,0.89123344,0.0010524543,0.33221528,,,,,0.003440197,1.0864198,,,,,,,,,,,,,100000,4,-9.079342069950869e-6
660,,,,,-0.0030454013,-0.96097785,,,0.0034545697,1.0909284,,,,,-0.0019270158,-0.6085217,,,0.0024563994,0.7742395,,,100000,5,-9.185166065295292e-6
576,,,,,,,,,,,,,0.0021449567,0.67806965,,,,,0.002479423,0.7815176,,,100000,3,-9.211943538200984e-6
329,0.002829808,0.8924338,,,,,0.0037181699,1.1761061,,,,,0.0021544683,0.6810741,,,-0.0020725457,-0.6545148,,,,,100000,5,-9.24477309438565e-6
133,0.0028505975,0.8989946,,,-0.0030367782,-0.9582611,,,,,,,,,-0.0019199732,-0.6063002,,,,,,,100000,4,-9.258161368874696e-6
336,,,,,,,,,0.0034590885,1.0923918,,,0.0021596337,0.68270415,,,-0.002053934,-0.6486423,,,,,100000,4,-9.258161368874696e-6
